Type+	os+	Type-	os-	R0(A)	b	cn	R_cutoff(A)
C	2	Ox	-2	1.41368	0.415	1	5
C	4	F	-1	1.37249	0.547	3	6
C	4	N	-3	1.55787	0.529	2	6
C	4	O	-2	1.39826	0.447	3	5
C	4	Ox	-2	1.39826	0.447	3	5
C	4	S	-2	1.84354	0.579	3	6
Ca	2	As	-3	2.20571	0.713	6	8
Ca	2	Br	-1	2.1686	0.634	6.3333	7.00 ! RCN estimated
Ca	2	Cl	-1	2.06262	0.594	6	6.5
Ca	2	F	-1	1.71038	0.467	6.89474	5.5
Ca	2	H	-1	1.60656	0.49	10.2	5.5
Ca	2	D	-1	1.60656	0.49	10.2	5.5
Ca	2	I	-1	2.3242	0.695	6	7.00 ! RCN estimated
Ca	2	N	-3	1.96982	0.564	5.16667	6.5
Ca	2	O	-2	1.79519	0.476	7.544	5.5
Ca	2	Ox	-2	1.79519	0.476	7.544	5.5
Ca	2	P	-3	2.195	0.684	6	7.5
Ca	2	S	-2	2.11148	0.612	7.2	7
Ca	2	Sb	-3	2.31444	0.788	6	8
Ca	2	Se	-2	2.20285	0.643	7	7
Ca	2	Te	-2	2.3886	0.689	7	7.00 ! RCN estimated
Cd	2	As	-3	2.42462	0.4	3.77778	7.5
Cd	2	Br	-1	2.16913	0.553	5.27273	6
Cd	2	Cl	-1	2.06949	0.512	6	6
Cd	2	F	-1	1.73948	0.416	6.8125	5.5
Cd	2	I	-1	2.3244	0.613	5.44444	7
Cd	2	O	-2	1.83926	0.407	6.22	5.5
Cd	2	Ox	-2	1.83926	0.407	6.22	5.5
Cd	2	P	-3	2.35329	0.37	3.55556	7.5
Cd	2	S	-2	2.12789	0.531	4.43478	5.5
Cd	2	Se	-2	2.16209	0.561	4	6.5
Cd	2	Te	-2	2.36683	0.607	4	7
Ce	3	Cl	-1	2.41187	0.561	8	5.50 ! low precision
Ce	3	F	-1	1.92656	0.458	9.75	5.5
Ce	3	H	-1	1.66111	0.534	12	5.00 ! low precision
Ce	3	D	-1	1.66111	0.534	12	5.00 ! low precision
Ce	3	O	-2	2.03118	0.449	9.06	5.5
Ce	3	Ox	-2	2.03118	0.449	9.06	5.5
Ce	3	S	-2	2.50404	0.489	7.33333	6
Ce	3	Se	-2	2.52663	0.52	9	7
Ce	4	O	-2	2.0253	0.443	8	5.5
Ce	4	Ox	-2	2.0253	0.443	8	5.5
Cl	3	O	-2	1.72265	0.491	2	5.50 ! RCN estimated
Cl	3	Ox	-2	1.72265	0.491	2	5.50 ! RCN estimated
Cl	5	O	-2	1.69552	0.445	3	5.5
Cl	5	Ox	-2	1.69552	0.445	3	5.5
Cl	7	O	-2	1.67946	0.443	4	5
Cl	7	Ox	-2	1.67946	0.443	4	5
Co	1	O	-2	1.29501	0.621	2	5.5
Co	1	Ox	-2	1.29501	0.621	2	5.5
Co	2	Cl	-1	1.93137	0.468	4.625	5.5
Co	2	F	-1	1.51442	0.46	6	5.5
Co	2	I	-1	2.19837	0.569	4	6
Co	2	O	-2	1.59773	0.451	5.50602	5.5
Co	2	Ox	-2	1.59773	0.451	5.50602	5.5
Co	2	P	-3	1.62356	0.734	4	7.5
Co	2	S	-2	2.00051	0.487	4	5.5
Co	2	Se	-2	2.10951	0.518	4	6
Co	3	F	-1	1.56345	0.443	6	5.5
Co	3	O	-2	1.59461	0.434	6	5.5
Co	3	Ox	-2	1.59461	0.434	6	5.5
Co	4	F	-1	1.70035	0.441	6	5.50 ! RCN estimated
Co	4	O	-2	1.79444	0.441	4	5.5
Co	4	Ox	-2	1.79444	0.441	4	5.5
Cr	1	H	-1	0.81	0.586	4	5.50 ! RCN estimated
Cr	1	D	-1	0.81	0.586	4	5.50 ! RCN estimated
Cr	2	Br	-1	2.12678	0.48	6	6
Cr	2	Cl	-1	2.01499	0.439	6	5.5
Cr	2	F	-1	1.54102	0.489	5.63636	5.5
Cr	2	I	-1	2.28404	0.54	6	6.5
Cr	2	O	-2	1.59356	0.48	5.6	5.5
Cr	2	Ox	-2	1.59356	0.48	5.6	5.5
Cr	2	S	-2	1.90932	0.458	6	5.5
Cr	2	Te	-2	2.18257	0.534	6	6.5
Cr	3	Br	-1	2.13165	0.53	6	6.5
Cr	3	Cl	-1	2.0051	0.489	6	5.5
Cr	3	F	-1	1.58975	0.438	6	5.5
Cr	3	O	-2	1.66198	0.43	6	5.5
Cr	3	Ox	-2	1.66198	0.43	6	5.5
Cr	3	S	-2	2.04397	0.508	6	5.5
Cr	3	Se	-2	2.14649	0.539	6	6
Cr	3	Te	-2	2.30242	0.584	6	6.5
Cr	4	F	-1	1.64899	0.418	6	5
Cr	4	O	-2	1.76095	0.409	5.42857	5.5
Cr	4	Ox	-2	1.76095	0.409	5.42857	5.5
Cr	5	O	-2	1.76781	0.402	4	5.5
Cr	5	Ox	-2	1.76781	0.402	4	5.5
Cr	6	Br	-1	2.224	0.674	6	6.50 ! RCN estimated
Cr	6	Cl	-1	2.007	0.634	6	6.50 ! RCN estimated
Cr	6	I	-1	2.5373	0.735	6	7.00 ! RCN estimated
Cr	6	N	-3	1.96859	0.605	4	6.50 ! RCN estimated
Cr	6	O	-2	1.82471	0.476	4	5.5
Cr	6	Ox	-2	1.82471	0.476	4	5.5
Cr	6	S	-2	2.103	0.652	4	6.50 ! RCN estimated
Cr	6	Se	-2	2.3	0.683	4	7.00 ! RCN estimated
Cr	6	Te	-2	2.60858	0.729	6	8
Cs	1	As	-3	2.76428	0.619	5.29	7.5
Cs	1	Br	-1	2.50818	0.541	10.31	7
Cs	1	Cl	-1	2.46037	0.5	10.33	6.5
Cs	1	F	-1	2.15318	0.428	11.55	6
Cs	1	H	-1	2.24656	0.404	8.8	6
Cs	1	D	-1	2.24656	0.404	8.8	6
Cs	1	I	-1	2.71194	0.601	10.48	8
Cs	1	N	-3	2.43105	0.471	11	6
Cs	1	Nx	-3	2.56208	0.471	10.89474	6
Cs	1	O	-2	2.25899	0.419	11.5	6.5
Cs	1	Ox	-2	2.25899	0.419	11.5	6.5
Cs	1	P	-3	2.72981	0.59	4.94444	7
Cs	1	S	-2	2.52283	0.519	7.56	6.5
Cs	1	Sb	-3	2.91838	0.694	5.14286	8
Cs	1	Se	-2	2.64858	0.55	7.27	7
Cs	1	Te	-2	2.78226	0.595	7.5	7.5
Cu	1	Br	-1	1.8681	0.442	3.8	5.5
Cu	1	Cl	-1	1.79822	0.402	3.85714	5
Cu	1	I	-1	1.93067	0.503	3.92	6
Cu	1	O	-2	1.58729	0.341	2.48	5
Cu	1	Ox	-2	1.58729	0.341	2.48	5
Cu	1	P	-3	1.92755	0.402	3.08	6.5
Cu	1	S	-2	1.80744	0.42	3.35	5
Cu	1	Se	-2	1.89561	0.451	3.74	5.5
Cu	1	Te	-2	1.88979	0.497	4	6
Cu	2	Cl	-1	1.90175	0.47	5.61539	5.5
Cu	2	F	-1	1.4953	0.457	5.83784	5.5
Cu	2	O	-2	1.57422	0.449	5.09	5
Cu	2	Ox	-2	1.57422	0.449	5.09	5
Cu	2	S	-2	1.94997	0.488	3.88	6
Cu	2	Se	-2	2.02888	0.519	4	6
Cu	3	F	-1	1.54272	0.437	6	5.5
Cu	3	O	-2	1.70964	0.427	4	5
Cu	3	Ox	-2	1.70964	0.427	4	5
D	1	Br	-1	1.2	0.725	1.8	6.00 ! RCN estimated
D	1	Cl	-1	1.0104	0.685	1.67	5.50 ! RCN estimated
D	1	F	-1	0.70779	0.558	1.8	4.50 ! RCN estimated
D	1	N	-3	0.91281	0.54	1.2	5.00 ! dummy
D	1	I	-1	1.29	0.786	1	6.50 ! RCN estimated
D	1	O	-2	0.87141	0.457	1.4	4.00 ! RCN estimated
D	1	Ox	-2	0.87141	0.457	1.4	4.00 ! RCN estimated
D	1	S	-2	1.19164	0.591	1	5.50 ! RCN estimated
D	1	Se	-2	1.2975	0.625	1	6.00 ! RCN estimated
D	1	Te	-2	1.4039	0.678	1	6.50 ! RCN estimated
Dy	3	Cl	-1	2.2881	0.493	7	6
Dy	3	F	-1	1.85	0.435	7	5.50 ! RCN estimated
Dy	3	O	-2	1.96029	0.426	7.62069	5.5
Dy	3	Ox	-2	1.96029	0.426	7.62069	5.5
Dy	3	S	-2	2.34124	0.512	7.42857	6
Er	3	I	-1	2.5675	0.608	6	6.00 ! one env only
Er	3	Cl	-1	2.25982	0.507	6.33333	6
Er	3	F	-1	1.84663	0.421	8.125	5.5
Er	3	O	-2	1.95608	0.412	7.08108	5.5
Er	3	Ox	-2	1.95608	0.412	7.08108	5.5
Er	3	S	-2	2.32366	0.525	6.375	6
Er	3	Se	-2	2.4342	0.556	6	7
Eu	2	Br	-1	2.50011	0.465	7.33333	6
Eu	2	Cl	-1	2.41447	0.425	9	5.5
Eu	2	F	-1	1.8142	0.503	7	5.5
Eu	2	I	-1	2.66292	0.525	6.5	6.5
Eu	2	N	-3	2.1874	0.43	6.64	6.00 ! RCN estimated
Eu	2	O	-2	1.89158	0.494	10.11111	6
Eu	2	Ox	-2	1.89158	0.494	10.11111	6
Eu	2	S	-2	2.47173	0.443	7.63158	6
Eu	3	Cl	-1	2.31998	0.485	8.2	6
Eu	3	F	-1	1.87763	0.443	8	5.5
Eu	3	N	-3	2.1627	0.455	6.33	6.00 ! RCN estimated
Eu	3	O	-2	2.00469	0.434	7.62857	5.5
Eu	3	Ox	-2	2.00469	0.434	7.62857	5.5
Eu	3	S	-2	2.39179	0.503	7	6
Fe	2	Br	-1	2.09517	0.479	6	5.5
Fe	2	Cl	-1	2.00003	0.439	6	5
Fe	2	F	-1	1.50766	0.489	6	5.5
Fe	2	H	-1	1.05068	0.466	6	5.5
Fe	2	D	-1	1.05068	0.466	6	5.5
Fe	2	I	-1	2.25785	0.54	5	6
Fe	2	N	-3	1.74731	0.367	4	5.5
Fe	2	O	-2	1.57911	0.48	5.76106	5.5
Fe	2	Ox	-2	1.57911	0.48	5.76106	5.5
Fe	2	P	-3	1.71035	0.68	4	6.5
Fe	2	S	-2	2.01111	0.457	5.33333	5.5
Fe	3	Br	-1	2.13627	0.578	4	6.5
Fe	3	Cl	-1	1.98266	0.538	5.42857	6
Fe	3	F	-1	1.63674	0.411	5.98305	5
Fe	3	I	-1	2.37658	0.523	4	6
Fe	3	N	-3	1.72485	0.606	3.33333	6
Fe	3	O	-2	1.73154	0.39	5	5.00 !  1.708400 0.420000  5.727230  5.00
Fe	3	Ox	-2	1.7084	0.42	5.72723	5
Fe	4	F	-1	1.7622	0.417	6	5.50 ! RCN estimated
Fe	4	O	-2	1.76559	0.41	6	5.5
Fe	4	Ox	-2	1.76559	0.41	6	5.5
Ga	1	Cl	-1	2.32041	0.44	9	6
Ga	1	I	-1	2.38769	0.541	8	7
Ga	3	As	-3	2.41812	0.466	3.33333	6.5
Ga	3	Br	-1	2.11352	0.619	4	6.5
Ga	3	Cl	-1	1.97794	0.578	4	6.5
Ga	3	F	-1	1.56039	0.451	6	5.5
Ga	3	H	-1	1.40785	0.474	4	6
Ga	3	D	-1	1.40785	0.474	4	6
Ga	3	I	-1	2.314	0.679	4	7.00 ! RCN estimated
Ga	3	N	-3	1.76199	0.506	4	6
Ga	3	O	-2	1.71606	0.373	4.90476	5
Ga	3	Ox	-2	1.71606	0.373	4.90476	5
Ga	3	P	-3	2.31839	0.433	3.42857	6.00 ! RCN estimated
Ga	3	S	-2	2.12458	0.483	4	6
Ga	3	Sb	-3	2.64176	0.669	3	7
Ga	3	Se	-2	2.24723	0.513	4	6.5
Ga	3	Te	-2	2.44491	0.558	4	7
Gd	3	Cl	-1	2.27126	0.533	7.75	6
Gd	3	F	-1	1.90718	0.406	8.33333	5.5
Gd	3	N	-3	2.09519	0.504	6.33	6.50 ! RCN estimated
Gd	3	O	-2	1.99654	0.415	7.75325	5.5
Gd	3	Ox	-2	1.99654	0.415	7.75325	5.5
Gd	3	S	-2	2.37028	0.552	7.2	6
Ge	2	As	-3	2.38084	0.458	2	6.5
Ge	2	Br	-1	2.20061	0.531	6	6
Ge	2	Cl	-1	2.07494	0.49	5	5.5
Ge	2	I	-1	2.29129	0.591	6	7
Ge	2	N	-3	1.86122	0.461	2	6
Ge	2	P	-3	2.22777	0.58	2	6.5
Ge	2	Te	-2	2.26937	0.585	6	7
Ge	4	As	-3	2.46953	0.465	3.85714	6
Ge	4	Cl	-1	2.07619	0.61	5	6
Ge	4	F	-1	1.57864	0.484	6	5.5
Ge	4	I	-1	2.4339	0.711	4	7.5
Ge	4	N	-3	1.84758	0.469	4	6
Ge	4	O	-2	1.73939	0.396	4.28743	5
Ge	4	Ox	-2	1.73939	0.396	4.28743	5
Ge	4	P	-3	2.31384	0.552	4	6.5
Ge	4	S	-2	2.19183	0.514	4	6
Ge	4	Se	-2	2.33264	0.545	4	6
Ge	4	Te	-2	2.57461	0.593	3.66667	7
H	1	Br	-1	1.07054	0.725	1.8	6
H	1	Cl	-1	1.01044	0.685	1.67	5.5
H	1	F	-1	0.70779	0.558	1.8	4.5
H	1	N	-3	0.91281	0.54	1.2	5.00 ! dummy
H	1	I	-1	1.17777	0.786	1	6.5
H	1	O	-2	0.87045	0.457	1.4	4
H	1	Ox	-2	0.87045	0.457	1.4	4
H	1	S	-2	1.19164	0.591	1	5.5
H	1	Se	-2	1.2975	0.625	1	6.00 ! RCN estimated
H	1	Te	-2	1.4039	0.678	1	6.50 ! RCN estimated
Hf	4	Cl	-1	2.24439	0.483	6	6.5
Hf	4	F	-1	1.7752	0.469	7.25	5.5
Hf	4	I	-1	2.57677	0.584	6	7
Hf	4	O	-2	1.83361	0.478	7.10526	6
Hf	4	Ox	-2	1.83361	0.478	7.10526	6
Hf	4	S	-2	2.2355	0.615	6	7
Hf	4	Se	-2	2.37893	0.645	6	7.5
Hg	1	Cl	-1	2.17341	0.455	5	5.5
Hg	1	F	-1	1.76507	0.473	5	5.5
Hg	1	O	-2	1.8128	0.465	4.43	5.5
Hg	1	Ox	-2	1.8128	0.465	4.43	5.5
Hg	2	Br	-1	2.25444	0.495	5	6
Hg	2	Cl	-1	2.17009	0.455	5.23	5.5
Hg	2	F	-1	1.7338	0.473	6.28571	5.5
Hg	2	I	-1	2.38163	0.555	4	6
Hg	2	O	-2	1.81276	0.465	6.48	5.5
Hg	2	Ox	-2	1.81276	0.465	6.48	5.5
Hg	2	S	-2	2.20501	0.473	4.39	5.5
Hg	2	Se	-2	2.25179	0.504	4	6
Hg	2	Te	-2	2.37917	0.549	4	7
Ho	3	F	-1	1.84485	0.424	8.33333	5.5
Ho	3	O	-2	1.97099	0.415	7.37	5.5
Ho	3	Ox	-2	1.97099	0.415	7.37	5.5
Ho	3	S	-2	2.33798	0.522	6.875	6
Hx	1	Br	-1	1.15	0.725	1.8	6.00 ! RCN estimated
Hx	1	Cl	-1	0.96	0.685	1.67	5.50 ! RCN estimated
Hx	1	F	-1	0.66653	0.558	1.8	4.5
Hx	1	I	-1	1.24	0.786	1	6.50 ! RCN estimated
Hx	1	O	-2	0.7815	0.457	1.4	4.00 ! RCN estimated
Hx	1	Ox	-2	0.7815	0.457	1.4	4.00 ! RCN estimated
Hx	1	S	-2	1.09778	0.591	1	5.5
Hx	1	Se	-2	1.2128	0.625	1	6.00 ! RCN estimated
Hx	1	Te	-2	1.3171	0.678	1	6.50 ! RCN estimated
I	5	F	-1	1.85566	0.37	4.92308	7
I	5	O	-2	1.97775	0.424	3.07463	6
I	5	Ox	-2	1.97775	0.424	3.07463	6
I	7	O	-2	1.92274	0.419	5.8	5.5
I	7	Ox	-2	1.92274	0.419	5.8	5.5
In	1	Br	-1	2.46665	0.454	8.4	6
In	1	Cl	-1	2.43863	0.413	8.5	6
In	1	I	-1	2.50769	0.514	7.83333	7
In	1	Te	-2	2.47793	0.508	7.66667	6.5
In	3	As	-3	2.54328	0.553	4	6.5
In	3	Br	-1	2.28936	0.589	4.4	6.5
In	3	Cl	-1	2.13474	0.548	6	6
In	3	F	-1	1.75728	0.421	6.47059	5.5
In	3	I	-1	2.47773	0.667	4	7
In	3	N	-3	2.02341	0.416	4	6
In	3	O	-2	1.90305	0.353	6	5
In	3	Ox	-2	1.90305	0.353	6	5
In	3	P	-3	2.50966	0.446	3.83333	6
In	3	S	-2	2.30797	0.456	5.45333	6
In	3	Sb	-3	2.64391	0.634	4	7
In	3	Se	-2	2.43051	0.484	4.3	6
In	3	Te	-2	2.62278	0.534	4	6.5
Ir	3	Cl	-1	2.05823	0.402	6	5.5
Ir	4	O	-2	1.83233	0.436	6	5.5
Ir	4	Ox	-2	1.83233	0.436	6	5.5
Ir	5	O	-2	1.89791	0.479	6	6
Ir	5	Ox	-2	1.89791	0.479	6	6
K	1	As	-3	2.35805	0.674	5.26316	7.5
K	1	Br	-1	2.17206	0.595	10	7
K	1	Cl	-1	2.07673	0.555	9.03846	6.5
K	1	F	-1	1.83331	0.428	9.79808	5.5
K	1	H	-1	1.87639	0.451	9.09091	5.5
K	1	D	-1	1.87639	0.451	9.09091	5.5
K	1	I	-1	2.2888	0.655	8.44	7
K	1	N	-3	2.00089	0.525	7	6
K	1	Nx	-3	1.96628	0.525	6.47826	6
K	1	O	-2	1.94233	0.436	8.75472	6
K	1	P	-3	2.37378	0.644	5.04167	7
K	1	S	-2	2.16803	0.573	7.53	6.5
K	1	Sb	-3	2.5472	0.749	4.27	8
K	1	Se	-2	2.29712	0.604	6.55	7
K	1	Te	-2	2.41802	0.649	6.4	7
La	3	Cl	-1	2.43099	0.459	7.5	6
La	3	F	-1	1.96577	0.443	10.28571	5.5
La	3	H	-1	1.96577	0.565	12	5.00 ! Low accuracy
La	3	D	-1	1.96577	0.565	12	5.00 ! Low accuracy
La	3	O	-2	2.06392	0.451	9.27	5.5
La	3	Ox	-2	2.06392	0.451	9.27	5.5
La	3	S	-2	2.4033	0.588	7.94444	6.5
Li	1	As	-3	1.50885	0.754	4.23	7.5
Li	1	Br	-1	1.51288	0.675	5.84615	7
Li	1	Cl	-1	1.39892	0.634	5.86667	6.5
Li	1	F	-1	1.08674	0.508	5.55769	5.5
Li	1	H	-1	1.03895	0.531	7.71429	5.5
Li	1	D	-1	1.03895	0.531	7.71429	5.5
Li	1	I	-1	1.64829	0.735	5.81818	7
Li	1	N	-3	1.1543	0.637	4.15556	6
Li	1	Nx	-3	1.1235	0.605	6	6
Li	1	O	-2	1.17096	0.516	5.07292	5.5
Li	1	Ox	-2	1.17096	0.516	5.07292	5.5
Li	1	P	-3	1.47863	0.724	4.16667	7
Li	1	S	-2	1.46652	0.653	4.38462	6
Li	1	Sb	-3	1.69021	0.821	4.33333	8
Li	1	Se	-2	1.60274	0.684	4.33333	7
Li	1	Te	-2	1.71028	0.729	5.14286	7
Lu	3	Cl	-1	2.284	0.433	6	6
Lu	3	F	-1	1.80738	0.412	7	5.5
Lu	3	O	-2	1.91728	0.421	6.76596	5.5
Lu	3	Ox	-2	1.91728	0.421	6.76596	5.5
Lu	3	S	-2	2.28119	0.557	6.07692	7
Mg	2	As	-3	2.044	0.75	4.66667	8
Mg	2	Br	-1	1.89059	0.671	6	7
Mg	2	Cl	-1	1.78276	0.63	6	6.5
Mg	2	F	-1	1.40956	0.504	6	5.5
Mg	2	H	-1	1.28689	0.559	8.3	5.5
Mg	2	D	-1	1.28689	0.559	8.3	5.5
Mg	2	Hx	-1	1.27474	0.527	4.66667	5.5
Mg	2	I	-1	2.045	0.731	6	7.00 ! RCN estimated
Mg	2	N	-3	1.63521	0.601	4.14286	6
Mg	2	O	-2	1.48398	0.512	5.89655	5.5
Mg	2	Ox	-2	1.48398	0.512	5.89655	5.5
Mg	2	P	-3	2.13103	0.563	4.33333	7.5
Mg	2	S	-2	1.82372	0.649	5.55556	6.5
Mg	2	Sb	-3	2.39271	0.634	4.4	8
Mg	2	Se	-2	1.7043	0.708	4.75	7.00 ! RCN estimated
Mg	2	Te	-2	1.9497	0.68	4	7.00 ! RCN estimated
Mn	2	As	-3	2.17091	0.567	4.1	6.5
Mn	2	Br	-1	2.08984	0.528	5.77778	6
Mn	2	Cl	-1	1.99681	0.488	5.90476	6
Mn	2	F	-1	1.56491	0.474	6.12121	5.5
Mn	2	I	-1	2.26045	0.588	6	6.5
Mn	2	N	-3	1.4734	0.606	4.33333	6.5
Mn	2	O	-2	1.62758	0.481	5.94194	5.5
Mn	2	Ox	-2	1.62758	0.481	5.94194	5.5
Mn	2	S	-2	2.15468	0.406	5.30769	5.5
Mn	2	Se	-2	2.24751	0.431	4.4	5.5
Mn	2	Te	-2	2.42451	0.47	4.33333	6
Mn	3	F	-1	1.60184	0.446	6	5.5
Mn	3	O	-2	1.68993	0.437	5.86154	5.5
Mn	3	Ox	-2	1.68993	0.437	5.86154	5.5
Mn	4	Cl	-1	2.06541	0.517	6	6.5
Mn	4	F	-1	1.61606	0.41	6	5
Mn	4	O	-2	1.73272	0.402	5.92307	5
Mn	4	Ox	-2	1.73272	0.402	5.92307	5
Mn	4	S	-2	2.30057	0.536	6	6.00 ! RCN estimated
Mn	5	O	-2	1.78879	0.413	4	5.5
Mn	5	Ox	-2	1.78879	0.413	4	5.5
Mn	6	O	-2	1.82018	0.416	4	5.5
Mn	6	Ox	-2	1.82018	0.416	4	5.5
